dataset,contract,domain,rep,total_s,fixpoint_s,encoded,status
sbc,0x561eac93c92360949ab1f1403323e6db345cbf31,Polka,3,13.13,11.9822,True,OK
sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Box,1,11.2,10.3177,True,OK
sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Box,2,11.21,10.3346,True,OK
sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Box,3,11.23,10.3406,True,OK
sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Octagon,1,12.35,11.2842,True,OK
sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Octagon,2,12.46,11.4335,True,OK
sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Octagon,3,12.39,11.3538,True,OK
sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Polka,1,11.91,10.954,True,OK
sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Polka,2,11.76,10.8243,True,OK
sbc,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Polka,3,11.84,10.8967,True,OK
sbc,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Box,1,12.27,11.1744,True,OK
sbc,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Box,2,12.3,11.1841,True,OK
sbc,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Box,3,12.34,11.1957,True,OK
sbc,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Octagon,1,19.19,17.8878,True,OK
sbc,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Octagon,2,19.97,18.5717,True,OK
sbc,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Octagon,3,19.72,18.261,True,OK
sbc,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Polka,1,14.1,12.9208,True,OK
sbc,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Polka,2,14.26,13.077,True,OK
sbc,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Polka,3,14.52,12.932,True,OK
sbc,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,Box,1,11.52,10.436,True,OK
sbc,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,Box,2,11.46,10.3673,True,OK
sbc,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,Box,3,11.52,10.4416,True,OK
sbc,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,Octagon,1,16.16,14.9418,True,OK
sbc,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,Octagon,2,17.1,15.268,True,OK
sbc,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,Octagon,3,17.24,16.0265,True,OK
sbc,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,Polka,1,13.57,11.9336,True,OK
sbc,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,Polka,2,13.13,11.7622,True,OK
sbc,0x7a8721a9d64c74da899424c1b52acbf58ddc9782,Polka,3,13.4,11.9097,True,OK
sbc,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,Box,1,12.35,11.2188,True,OK
sbc,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,Box,2,12.29,11.175899999999999,True,OK
sbc,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,Box,3,12.28,11.173499999999999,True,OK
sbc,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,Octagon,1,19.4,18.055799999999998,True,OK
sbc,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,Octagon,2,19.85,18.2793,True,OK
sbc,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,Octagon,3,20.28,18.8286,True,OK
sbc,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,Polka,1,14.16,12.8741,True,OK
sbc,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,Polka,2,14.42,12.868799999999998,True,OK
sbc,0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,Polka,3,14.06,12.8777,True,OK
sbc,0x8c7777c45481dba411450c228cb692ac3d550344,Box,1,11.48,10.413,True,OK
sbc,0x8c7777c45481dba411450c228cb692ac3d550344,Box,2,11.4,10.3293,True,OK
sbc,0x8c7777c45481dba411450c228cb692ac3d550344,Box,3,11.4,10.3493,True,OK
sbc,0x8c7777c45481dba411450c228cb692ac3d550344,Octagon,1,15.25,13.96,True,OK
sbc,0x8c7777c45481dba411450c228cb692ac3d550344,Octagon,2,15.35,14.1749,True,OK
sbc,0x8c7777c45481dba411450c228cb692ac3d550344,Octagon,3,15.72,13.8587,True,OK
sbc,0x8c7777c45481dba411450c228cb692ac3d550344,Polka,1,12.66,11.3946,True,OK
sbc,0x8c7777c45481dba411450c228cb692ac3d550344,Polka,2,12.63,11.3473,True,OK
sbc,0x8c7777c45481dba411450c228cb692ac3d550344,Polka,3,12.68,11.3489,True,OK
sbc,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Box,1,12.36,11.2315,True,OK
sbc,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Box,2,12.36,11.2398,True,OK
sbc,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Box,3,12.38,11.2597,True,OK
sbc,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Octagon,1,19.46,17.6786,True,OK
sbc,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Octagon,2,20.63,18.738200000000003,True,OK
sbc,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Octagon,3,20.15,18.802599999999998,True,OK
sbc,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Polka,1,14.15,12.8,True,OK
sbc,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Polka,2,14.13,12.7968,True,OK
sbc,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Polka,3,14.37,12.833300000000001,True,OK
sbc,0x941d225236464a25eb18076df7da6a91d0f95e9e,Box,1,11.47,10.41,True,OK
sbc,0x941d225236464a25eb18076df7da6a91d0f95e9e,Box,2,11.41,10.3512,True,OK
sbc,0x941d225236464a25eb18076df7da6a91d0f95e9e,Box,3,11.41,10.3519,True,OK
sbc,0x941d225236464a25eb18076df7da6a91d0f95e9e,Octagon,1,16.38,15.2026,True,OK
sbc,0x941d225236464a25eb18076df7da6a91d0f95e9e,Octagon,2,17.06,14.9636,True,OK
sbc,0x941d225236464a25eb18076df7da6a91d0f95e9e,Octagon,3,16.13,14.9223,True,OK
sbc,0x941d225236464a25eb18076df7da6a91d0f95e9e,Polka,1,12.76,11.6105,True,OK
sbc,0x941d225236464a25eb18076df7da6a91d0f95e9e,Polka,2,12.77,11.5798,True,OK
sbc,0x941d225236464a25eb18076df7da6a91d0f95e9e,Polka,3,12.94,11.6742,True,OK
sbc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Box,1,12.11,11.172899999999998,True,OK
sbc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Box,2,12.13,11.189499999999999,True,OK
sbc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Box,3,12.16,11.229399999999998,True,OK
sbc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Octagon,1,21.53,20.3703,True,OK
sbc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Octagon,2,21.61,20.0832,True,OK
sbc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Octagon,3,22.77,20.2341,True,OK
sbc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Polka,1,15.41,13.8951,True,OK
sbc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Polka,2,14.64,13.1586,True,OK
sbc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Polka,3,14.4,13.108400000000001,True,OK
sbc,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Box,1,11.3,10.3976,True,OK
sbc,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Box,2,11.35,10.4721,True,OK
sbc,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Box,3,11.36,10.4958,True,OK
sbc,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Octagon,1,17.09,15.6484,True,OK
sbc,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Octagon,2,17.26,16.0647,True,OK
sbc,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Octagon,3,16.96,15.9703,True,OK
sbc,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Polka,1,13.13,11.861,True,OK
sbc,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Polka,2,12.97,11.7972,True,OK
sbc,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Polka,3,13.15,11.9207,True,OK
sbc,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Box,1,11.44,10.3765,True,OK
sbc,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Box,2,11.41,10.332,True,OK
sbc,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Box,3,11.43,10.3535,True,OK
sbc,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Octagon,1,15.36,13.936,True,OK
sbc,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Octagon,2,15.89,13.8896,True,OK
sbc,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Octagon,3,15.68,14.3659,True,OK
