filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
36451.sol,N/A,TN,1.42,-1,-1,0,-1
36456.sol,N/A,TN,1.61,0,-1,-1,-1
36481.sol,N/A,N/A,1.23,1,-1,-1,-1
3654.sol,N/A,TN,1.46,-1,-1,0,-1
36563.sol,N/A,TN,1.5,0,-1,-1,-1
36661.sol,N/A,FN,1.1,-1,-1,0,-1
36668.sol,N/A,TN,1.65,0,-1,-1,-1
36737.sol,N/A,TN,1.47,-1,-1,0,-1
36836.sol,N/A,FP,1.68,1,-1,-1,-1
36852.sol,N/A,TN,1.52,-1,-1,0,-1
37017.sol,N/A,TN,1.51,-1,-1,0,-1
3702.sol,N/A,FN,1.13,-1,-1,0,-1
37155.sol,N/A,FN,1.13,-1,-1,0,-1
37221.sol,N/A,FN,1.14,-1,-1,0,-1
37274.sol,N/A,TN,1.6,-1,-1,0,-1
3729.sol,N/A,FN,1.17,-1,-1,0,-1
37390.sol,N/A,TN,1.48,-1,-1,0,-1
37474.sol,N/A,TN,1.55,0,-1,-1,-1
37499.sol,N/A,TN,1.59,0,-1,-1,-1
37514.sol,N/A,TN,1.52,-1,-1,0,-1
37559.sol,N/A,FN,1.26,-1,-1,0,-1
37645.sol,N/A,FP,1.47,1,-1,-1,-1
37646.sol,N/A,FP,1.62,1,-1,-1,-1
37672.sol,N/A,FN,1.18,-1,-1,0,-1
37676.sol,N/A,TN,1.37,0,-1,-1,-1
37679.sol,N/A,FN,1.15,-1,-1,0,-1
37683.sol,N/A,TN,1.51,-1,-1,0,-1
37684.sol,N/A,TN,1.54,-1,-1,0,-1
37707.sol,N/A,N/A,1.18,1,-1,-1,-1
37708.sol,N/A,FP,1.64,1,-1,-1,-1
3772.sol,N/A,TN,1.57,-1,-1,0,-1
37836.sol,N/A,TN,1.47,0,-1,-1,-1
37891.sol,N/A,N/A,2.07,1,-1,-1,-1
37919.sol,N/A,FN,1.18,-1,-1,0,-1
37920.sol,N/A,FN,1.29,-1,-1,0,-1
38057.sol,N/A,N/A,1.18,1,-1,-1,-1
38096.sol,N/A,TN,1.5,-1,-1,0,-1
38239.sol,N/A,TN,1.48,-1,-1,0,-1
38250.sol,N/A,FP,1.43,1,-1,-1,-1
38392.sol,N/A,FN,1.15,-1,-1,0,-1
38420.sol,N/A,FP,1.53,1,-1,-1,-1
38421.sol,N/A,TN,1.47,-1,-1,0,-1
38543.sol,N/A,TN,1.52,0,-1,-1,-1
38651.sol,N/A,FP,1.59,1,-1,-1,-1
38684.sol,N/A,FN,1.15,-1,-1,0,-1
38709.sol,N/A,TN,1.53,-1,-1,0,-1
38727.sol,N/A,TN,1.52,-1,-1,0,-1
38828.sol,N/A,N/A,1.47,1,-1,-1,-1
38876.sol,N/A,N/A,1.51,1,-1,-1,-1
38888.sol,N/A,TN,1.42,1,-1,0,-1
38925.sol,N/A,TN,1.53,-1,-1,0,-1
38947.sol,N/A,FN,1.15,-1,-1,0,-1
38983.sol,N/A,TN,1.56,-1,-1,0,-1
39019.sol,N/A,N/A,1.21,0,-1,-1,-1
39032.sol,N/A,FP,1.5,1,-1,-1,-1
39091.sol,N/A,TN,1.51,-1,-1,0,-1
39095.sol,N/A,TN,1.59,-1,-1,0,-1
39114.sol,N/A,TN,1.42,-1,-1,0,-1
39151.sol,N/A,N/A,1.29,1,-1,-1,-1
39199.sol,N/A,N/A,1.23,0,-1,-1,-1
39248.sol,N/A,TN,1.69,0,-1,-1,-1
39268.sol,N/A,N/A,1.56,1,-1,-1,-1
39269.sol,N/A,FN,1.34,0,-1,-1,-1
39327.sol,N/A,TN,1.59,0,-1,-1,-1
39341.sol,N/A,N/A,2.34,1,-1,-1,-1
39425.sol,N/A,TN,1.51,-1,-1,0,-1
3952.sol,N/A,TN,1.55,-1,-1,0,-1
39559.sol,N/A,TN,1.5,-1,-1,0,-1
