filename,vulnerability,ground_truth,osiris_flagged,solc_version,exit_code,status,duration_s
50554.sol,overflow,0,0,0.4.21,0,TN,0.33
50555.sol,overflow,0,0,0.4.21,0,TN,0.52
50557.sol,overflow,0,0,0.4.21,0,TN,0.35
50558.sol,overflow,0,0,0.4.21,0,TN,0.49
50559.sol,overflow,0,0,0.4.21,0,TN,0.27
50660.sol,overflow,0,0,0.4.21,0,TN,0.3
50661.sol,overflow,0,0,0.4.21,0,TN,0.32
50662.sol,overflow,0,0,0.4.21,0,TN,1.05
50663.sol,overflow,0,0,0.4.21,0,TN,16.36
50664.sol,overflow,0,0,0.4.21,0,TN,0.66
50665.sol,overflow,0,0,0.4.21,0,TN,0.45
50666.sol,overflow,0,0,0.4.21,0,TN,0.4
50668.sol,overflow,0,0,0.4.21,0,TN,0.68
50669.sol,overflow,0,1,0.4.21,0,FP,0.76
50770.sol,overflow,0,0,0.4.21,0,TN,0.29
50771.sol,overflow,0,0,0.4.21,0,TN,0.51
50773.sol,overflow,0,0,0.4.21,0,TN,0.55
50774.sol,overflow,0,0,0.4.21,0,TN,0.33
50775.sol,overflow,0,0,0.4.21,0,TN,0.28
50776.sol,overflow,0,0,0.4.21,0,TN,18.94
50777.sol,overflow,0,0,0.4.21,0,TN,0.3
50778.sol,overflow,0,0,0.4.21,0,TN,0.6
50779.sol,overflow,0,1,0.4.21,0,FP,0.37
50780.sol,overflow,0,1,0.4.21,0,FP,0.37
50781.sol,overflow,0,1,0.4.21,0,FP,0.36
50782.sol,overflow,0,0,0.4.21,0,TN,0.54
50783.sol,overflow,0,1,0.4.21,0,FP,0.35
50784.sol,overflow,0,0,0.4.21,0,TN,0.43
50785.sol,overflow,0,0,0.4.21,0,TN,0.44
50786.sol,overflow,0,1,0.4.21,0,FP,0.36
50787.sol,overflow,0,0,0.4.21,0,TN,0.43
50788.sol,overflow,0,0,0.4.21,0,TN,8.45
50789.sol,overflow,0,0,0.4.21,0,TN,0.52
50791.sol,overflow,0,0,0.4.21,0,TN,0.37
50792.sol,overflow,0,0,0.4.21,0,TN,0.35
50793.sol,overflow,0,0,0.4.21,0,TN,0.32
50794.sol,overflow,0,0,0.4.21,0,TN,0.32
50795.sol,overflow,0,0,0.4.21,0,TN,0.32
50798.sol,overflow,0,0,0.4.21,0,TN,0.9
538.sol,overflow,0,0,0.4.21,0,TN,0.25
5629.sol,overflow,0,0,0.4.21,0,TN,0.34
6192.sol,overflow,0,0,0.4.21,0,TN,0.28
625.sol,overflow,0,0,0.4.21,0,TN,0.26
649.sol,overflow,0,0,0.4.21,0,TN,0.49
650.sol,overflow,0,0,0.4.21,0,TN,0.25
666.sol,overflow,0,0,0.4.21,0,TN,0.26
7330.sol,overflow,0,1,0.4.21,0,FP,0.34
737.sol,overflow,0,0,0.4.21,0,TN,0.26
738.sol,overflow,0,0,0.4.21,0,TN,0.28
740.sol,overflow,0,0,0.4.21,0,TN,0.26
7570.sol,overflow,0,1,0.4.21,0,FP,0.3
797.sol,overflow,0,0,0.4.21,0,TN,0.27
8026.sol,overflow,0,0,0.4.21,0,TN,0.27
8342.sol,overflow,0,1,0.4.21,0,FP,0.34
84.sol,overflow,0,0,0.4.21,0,COMPILE_ERROR,0.15
883.sol,overflow,0,0,0.4.21,0,TN,0.24
8872.sol,overflow,0,0,0.4.21,0,TN,0.37
9428.sol,overflow,0,0,0.4.21,0,TN,0.28
1115.sol,overflow,1,1,0.4.21,0,TP,2.35
1183.sol,overflow,1,1,0.4.21,0,TP,0.31
12292.sol,overflow,1,0,0.4.21,0,FN,0.24
12321.sol,overflow,1,1,0.4.21,0,TP,0.41
12894.sol,overflow,1,0,0.4.21,0,FN,0.28
12998.sol,overflow,1,1,0.4.21,0,TP,2.14
1313.sol,overflow,1,1,0.4.21,0,TP,0.35
13371.sol,overflow,1,1,0.4.21,0,TP,8.09
14284.sol,overflow,1,1,0.4.21,0,TP,0.33
14711.sol,overflow,1,0,0.4.21,0,FN,0.27
14994.sol,overflow,1,0,0.4.21,0,FN,2.54
1533.sol,overflow,1,1,0.4.21,0,TP,4.4
16957.sol,overflow,1,0,0.4.21,0,FN,0.3
170.sol,overflow,1,1,0.4.21,0,TP,4.38
17401.sol,overflow,1,1,0.4.21,0,TP,30.53
1813.sol,overflow,1,1,0.4.21,0,TP,0.31
1825.sol,overflow,1,1,0.4.21,0,TP,0.27
18509.sol,overflow,1,0,0.4.21,0,FN,0.28
19925.sol,overflow,1,1,0.4.21,0,TP,18.22
2.sol,overflow,1,1,0.4.21,0,TP,0.42
211.sol,overflow,1,0,0.4.21,0,FN,0.32
21162.sol,overflow,1,0,0.4.21,0,FN,0.24
21241.sol,overflow,1,0,0.4.21,0,FN,0.32
22074.sol,overflow,1,1,0.4.21,0,TP,0.29
22416.sol,overflow,1,1,0.4.21,0,TP,0.33
2253.sol,overflow,1,1,0.4.21,0,TP,0.35
23792.sol,overflow,1,1,0.4.21,0,TP,0.26
2399.sol,overflow,1,1,0.4.21,0,TP,0.32
24648.sol,overflow,1,1,0.4.21,0,TP,0.38
2563.sol,overflow,1,0,0.4.21,0,FN,0.28
29089.sol,overflow,1,1,0.4.21,0,TP,0.3
29409.sol,overflow,1,1,0.4.21,0,TP,0.28
3.sol,overflow,1,0,0.4.21,0,FN,0.23
35358.sol,overflow,1,1,0.4.21,0,TP,0.28
3543.sol,overflow,1,0,0.4.21,0,FN,0.25
35806.sol,overflow,1,1,0.4.21,0,TP,0.3
36481.sol,overflow,1,1,0.4.21,0,TP,10.24
3702.sol,overflow,1,0,0.4.21,0,FN,0.26
37707.sol,overflow,1,1,0.4.21,0,TP,0.3
38057.sol,overflow,1,1,0.4.21,0,TP,0.29
39019.sol,overflow,1,1,0.4.21,0,TP,5.17
39778.sol,overflow,1,0,0.4.21,0,FN,0.43
39866.sol,overflow,1,0,0.4.21,0,FN,8.32
4.sol,overflow,1,0,0.4.21,0,FN,0.25
40005.sol,overflow,1,0,0.4.21,0,FN,0.48
40092.sol,overflow,1,1,0.4.21,0,TP,0.29
40249.sol,overflow,1,1,0.4.21,0,TP,5.34
40336.sol,overflow,1,1,0.4.21,0,TP,0.28
40340.sol,overflow,1,1,0.4.21,0,TP,0.29
40353.sol,overflow,1,1,0.4.21,0,TP,0.29
40415.sol,overflow,1,0,0.4.21,0,FN,0.27
40499.sol,overflow,1,1,0.4.21,0,TP,0.29
40736.sol,overflow,1,0,0.4.21,0,FN,0.28
40745.sol,overflow,1,1,0.4.21,0,TP,0.29
40746.sol,overflow,1,0,0.4.21,0,FN,0.27
40747.sol,overflow,1,1,0.4.21,0,TP,0.31
40748.sol,overflow,1,0,0.4.21,0,FN,16.6
40754.sol,overflow,1,0,0.4.21,0,FN,0.31
40756.sol,overflow,1,1,0.4.21,0,TP,0.3
40770.sol,overflow,1,1,0.4.21,0,TP,0.3
40780.sol,overflow,1,1,0.4.21,0,TP,0.29
419.sol,overflow,1,1,0.4.21,0,TP,0.31
42.sol,overflow,1,1,0.4.21,0,TP,0.3
4832.sol,overflow,1,0,0.4.21,0,FN,0.28
5.sol,overflow,1,0,0.4.21,0,FN,0.24
50002.sol,overflow,1,1,0.4.21,0,TP,0.31
50007.sol,overflow,1,0,0.4.21,0,FN,0.53
50010.sol,overflow,1,0,0.4.21,0,FN,0.24
50014.sol,overflow,1,0,0.4.21,0,FN,0.27
